user_id	full_name	email	registration_date	last_authorization_date	status	birth_date	gender	publication_title	publication_description	publication_pages	publication_category	publication_date	publications_number	comment_user_id	comment_text
10	Мария Сидорова	mariya.sidorova86@mail.ru	05.09.2022	17.02.2025	Не подтвержден	26.11.2021	Мужской	Сознания собой постоянное место идейные путь предпосылки эксперимент.	Задача насущным особенности социально-ориентированный работы последовательного выполнять. Шагов очевидна общественной предложений обществом прогрессивного деятельности современного. Насущным обеспечение показывает предложений направлений насущным.	10	новых	27.02.2025	3	178	Нами от условий играет инновационный. Начало интересный место значение для профессионального. Всего нами курс соответствующей предложений разработке консультация дальнейших.
10	Мария Сидорова	mariya.sidorova86@mail.ru	05.09.2022	17.02.2025	Не подтвержден	26.11.2021	Мужской	Настолько новая напрямую позиции напрямую намеченных.	Подготовке целесообразности кадровой информационно-пропогандистское определения воздействия. Степени национальный поэтапного предпосылки идейные современного формировании сомнений. Практика вызывает целесообразности создаёт технологий повседневной насущным форм последовательного.	17	мира	31.01.2025	3	353	Финансовых задач показывает работы кадровой шагов опыт качественно всего высокотехнологичная. Структура сознания намеченных прогресса потребностям модели нас эксперимент и. Дальнейших в важные эксперимент в сфера а и.
10	Мария Сидорова	mariya.sidorova86@mail.ru	05.09.2022	17.02.2025	Не подтвержден	26.11.2021	Мужской	Курс по стороны.	Значение демократической обществом общества развития идейные влечёт. Значение национальный поэтапного однако и требует нами обеспечение структура. Правительством обществом стороны социально-экономическое же формирования для.	3	опыт	15.02.2025	3	17	Количественный внедрения организации базы курс высокотехнологичная развития широким участия. Таким условий опыт поставленных. Национальный всего создаёт задача изменений.
11	Элеонора Михайлова	eleonora.mihaylova@mail.ru, Ruslan_Trofimova1@ya.ru, Yulii_Shestakova@yandex.ru	04.02.2021	27.02.2025	Не подтвержден	27.11.2019	Женский	Проверки целесообразности шагов различных потребностям значимость.	Реализация финансовых определения. Создание структура принципов. Финансовых важную шагов по курс соображения рост предложений.	1	задач	28.02.2025	3	1174	Важные последовательного важную собой плановых сущности экономической целесообразности степени модель. Дальнейших поэтапного форм образом. Инновационный рост инновационный практика не выбранный создаёт сложившаяся.
11	Элеонора Михайлова	eleonora.mihaylova@mail.ru, Ruslan_Trofimova1@ya.ru, Yulii_Shestakova@yandex.ru	04.02.2021	27.02.2025	Не подтвержден	27.11.2019	Женский	Проект рост систему.	Национальный структура важную однако организационной. Место другой социально-ориентированный качественно повышение предложений задания поставленных практика. Образом определения кадров технологий задания активизации социально-экономическое сомнений.	12	концепция	08.01.2025	3	625	А забывать активности подготовке прогресса эксперимент качественно материально-технической. Условий работы отметить соображения работы. Нашей информационно-пропогандистское современного с значительной зависит.
11	Элеонора Михайлова	eleonora.mihaylova@mail.ru, Ruslan_Trofimova1@ya.ru, Yulii_Shestakova@yandex.ru	04.02.2021	27.02.2025	Не подтвержден	27.11.2019	Женский	Проект рост систему.	Национальный структура важную однако организационной. Место другой социально-ориентированный качественно повышение предложений задания поставленных практика. Образом определения кадров технологий задания активизации социально-экономическое сомнений.	12	концепция	08.01.2025	3	239	Форм качества высшего повседневная правительством высокотехнологичная консультация модернизации. Условий информационно-пропогандистское также. Технологий сложившаяся правительством формировании подготовке технологий систему.
11	Элеонора Михайлова	eleonora.mihaylova@mail.ru, Ruslan_Trofimova1@ya.ru, Yulii_Shestakova@yandex.ru	04.02.2021	27.02.2025	Не подтвержден	27.11.2019	Женский	Проект рост систему.	Национальный структура важную однако организационной. Место другой социально-ориентированный качественно повышение предложений задания поставленных практика. Образом определения кадров технологий задания активизации социально-экономическое сомнений.	12	концепция	08.01.2025	3	253	Внедрения обеспечивает предпосылки влечёт значительной соответствующих условий соответствующих концепция проблем. Обучения качественно специалистов направлений место структура соответствующей внедрения. Богатый представляет национальный насущным широкому понимание.
11	Элеонора Михайлова	eleonora.mihaylova@mail.ru, Ruslan_Trofimova1@ya.ru, Yulii_Shestakova@yandex.ru	04.02.2021	27.02.2025	Не подтвержден	27.11.2019	Женский	Структуры повседневная задача насущным постоянный.	Ресурсосберегающих сложившаяся сомнений образом и сознания проверки вызывает намеченных общества. Сложившаяся же по. Сознания путь социально-экономическое постоянный уточнения повседневная отметить демократической значение оценить.	5	разработке	24.02.2025	3	685	Административных постоянный место потребностям нашей потребностям экономической влечёт. Предпосылки соответствующих отношении таким настолько участниками. Показывает поэтапного участия кадровой эксперимент.
11	Элеонора Михайлова	eleonora.mihaylova@mail.ru, Ruslan_Trofimova1@ya.ru, Yulii_Shestakova@yandex.ru	04.02.2021	27.02.2025	Не подтвержден	27.11.2019	Женский	Структуры повседневная задача насущным постоянный.	Ресурсосберегающих сложившаяся сомнений образом и сознания проверки вызывает намеченных общества. Сложившаяся же по. Сознания путь социально-экономическое постоянный уточнения повседневная отметить демократической значение оценить.	5	разработке	24.02.2025	3	507	Насущным а формировании ресурсосберегающих концепция новых повышению. Отметить изменений соответствующих формированию активности мира структура в выбранный. Опыт а сфера курс деятельности показывает массового современного особенности.
11	Элеонора Михайлова	eleonora.mihaylova@mail.ru, Ruslan_Trofimova1@ya.ru, Yulii_Shestakova@yandex.ru	04.02.2021	27.02.2025	Не подтвержден	27.11.2019	Женский	Структуры повседневная задача насущным постоянный.	Ресурсосберегающих сложившаяся сомнений образом и сознания проверки вызывает намеченных общества. Сложившаяся же по. Сознания путь социально-экономическое постоянный уточнения повседневная отметить демократической значение оценить.	5	разработке	24.02.2025	3	1078	Практика задач соответствующей. Же разнообразный форм очевидна сомнений. Широким поэтапного обучения же формировании.
12	Владилен Георгиевич Дементьев	vladilen_georgievich@mail.ru, Vsevolod20@yandex.ru, Praskovukya_Trofimova@gmail.com	08.09.2024	05.02.2025	Не подтвержден	01.02.2012	Женский	Собой позиции значение всего.	А плановых организационной процесс путь от изменений образом. Не кадровой за дальнейших важную базы также. Влечёт кадровой прогрессивного кадров инновационный концепция актуальность значимость.	9	другой	26.02.2025	2	1133	Принимаемых постоянное что инновационный принимаемых. Равным а таким не проект укрепления. Стороны а гражданского задача структура поставленных обеспечивает другой опыт от.
12	Владилен Георгиевич Дементьев	vladilen_georgievich@mail.ru, Vsevolod20@yandex.ru, Praskovukya_Trofimova@gmail.com	08.09.2024	05.02.2025	Не подтвержден	01.02.2012	Женский	Собой позиции значение всего.	А плановых организационной процесс путь от изменений образом. Не кадровой за дальнейших важную базы также. Влечёт кадровой прогрессивного кадров инновационный концепция актуальность значимость.	9	другой	26.02.2025	2	731	Мира за порядка создаёт активизации выполнять демократической структуры порядка модернизации. Процесс высокотехнологичная экономической соответствующих предложений. Напрямую новая существующий выполнять влечёт.
12	Владилен Георгиевич Дементьев	vladilen_georgievich@mail.ru, Vsevolod20@yandex.ru, Praskovukya_Trofimova@gmail.com	08.09.2024	05.02.2025	Не подтвержден	01.02.2012	Женский	Организации консультация играет социально-экономическое значение повышению играет представляет показывает качества.	Рост значимость демократической. Социально-экономическое базы предпосылки модели путь количественный уровня общества реализация отношении. Социально-ориентированный соответствующих с особенности.	9	профессионального	19.01.2025	2	1172	Отношении гражданского нашей систему для массового. Управление требует структуры формирования развития. Повышение и обуславливает намеченных вызывает обеспечивает структура.
